cmo,classification,method,rule_id,records,population
6260,baja_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0429,174,54708
6150,baja_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0412,128,43527
6160,baja_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0413,612,171457
4120,baja_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0295,713,170204
1230,baja_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0253,226,57892
6101,baja_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0402,440,93003
1204,baja_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0248,581,153339
2125,baja_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0282,427,98368
2123,baja_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0280,96,31195
6232,baja_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0425,150,39167
1104,baja_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0229,318,89773
1221,baja_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0252,130,31305
7121,baja_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0435,442,117567
6110,baja_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0404,353,97836
1390,baja_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0267,152,30543
7201,baja_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0441,1551,411499
1250,baja_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0255,421,98103
6100,baja_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0401,220,44470
4170,baja_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0299,106,29736
6180,baja_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0415,180,49985
6121,baja_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0407,194,63894
5111,baja_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0302,52,10227
5380,baja_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0377,126,48291
5170,baja_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0312,62,17410
8311,baja_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0474,50,8655
5410,baja_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0384,39,6539
5246,alta_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0100,435,126487
8100,alta_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0202,2964,842299
1105,alta_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0005,657,186122
6270,alta_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0187,3574,824847
5400,alta_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0146,1733,453928
2127,alta_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0049,455,111666
6130,alta_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0171,134,45536
8100,alta_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0203,541,143163
2124,alta_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0047,456,127106
8150,alta_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0217,328,96528
6230,alta_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0181,735,201084
1423,alta_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0040,433,137388
1205,alta_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0021,664,166429
2121,alta_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0045,636,183740
6150,alta_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0172,128,43527
4120,alta_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0062,713,170204
1230,alta_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0025,226,57892
6101,alta_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0167,440,93003
2125,alta_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0048,427,98368
2123,alta_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0046,96,31195
6232,alta_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0183,150,39167
1104,alta_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0004,318,89773
1221,alta_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0024,130,31305
7121,alta_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0192,441,117122
6110,alta_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0169,353,97836
1390,alta_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0036,152,30543
7201,alta_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0197,1551,411499
1250,alta_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0026,421,98103
6100,alta_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0166,220,44470
4170,alta_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0066,114,32389
4109,alta_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0057,187,43443
5380,alta_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0141,124,47935
5410,alta_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0148,48,7842
