classification,split,cmo,old_value,new_value,n,population
grupo_ocu9_damian,train,5502,8,6,1,80
grupo_ocu9_damian,train,5401,9,7,10,2187
grupo_ocu9_damian,train,5248,7,2,1,80
grupo_ocu9_damian,train,5290,7,2,3,297
grupo_ocu9_damian,train,2128,1,6,4,351
grupo_ocu9_damian,train,8126,9,2,5,917
grupo_ocu9_damian,train,5200,7,4,5,1134
grupo_ocu9_damian,train,4103,6,9,69,21701
grupo_ocu9_damian,train,2133,1,1,3,906
grupo_ocu9_damian,train,5490,9,9,3,507
grupo_ocu9_damian,train,5246,2,9,15,2678
grupo_ocu9_damian,validation,5371,8,8,9,3196
grupo_ocu9_damian,validation,4106,6,6,78,18225
grupo_ocu9_damian,validation,5500,6,6,7,4401
grupo_ocu9_damian,validation,5460,9,6,2,124
grupo_ocu9_damian,validation,5441,9,7,1,69
grupo_ocu9_damian,validation,5203,7,8,1,69
grupo_ocu9_damian,validation,5401,9,6,3,573
grupo_ocu9_damian,validation,5440,9,8,15,4647
grupo_ocu9_damian,validation,5333,8,8,3,1200
grupo_ocu9_damian,validation,5370,8,2,6,547
grupo_ocu9_damian,validation,7111,4,3,51,12020
grupo_ocu9_damian,validation,7100,4,7,11,3007
grupo_ocu9_damian,validation,1104,2,1,7,1787
grupo_ocu9_damian,validation,2121,1,2,19,4880
grupo_ocu9_damian,validation,5121,8,9,4,439
grupo_ocu9_damian,validation,5383,8,8,52,16098
grupo_ocu9_damian,train,4108,6,6,26,4675
grupo_ocu9_damian,train,4108,6,9,30,9663
grupo_ocu9_damian,train,5500,6,9,6,644
grupo_ocu9_damian,train,5380,8,8,16,3581
grupo_ocu9_damian,train,5322,8,7,24,7012
grupo_ocu9_damian,train,5324,8,7,4,609
grupo_ocu9_damian,train,4110,6,9,58,16683
grupo_ocu9_damian,train,5251,7,9,6,1179
grupo_ocu9_damian,train,5321,8,8,13,7088
grupo_ocu9_damian,train,5223,7,7,5,567
grupo_ocu9_damian,train,8124,9,7,11,5233
grupo_ocu9_damian,train,5304,8,7,2,501
grupo_ocu9_damian,train,4120,6,6,100,25431
grupo_ocu9_damian,train,5200,7,7,70,30817
grupo_ocu9_damian,train,5350,8,8,8,763
grupo_ocu9_damian,train,5202,7,9,21,4899
grupo_ocu9_damian,train,4112,6,6,15,5497
grupo_ocu9_damian,train,5401,9,9,25,8323
grupo_ocu9_damian,validation,5302,8,8,11,2817
grupo_ocu9_damian,validation,5332,8,7,2,349
grupo_ocu9_damian,validation,7100,4,1,11,4610
grupo_ocu9_damian,validation,6221,3,8,22,9137
grupo_ocu9_damian,validation,5331,8,8,6,2242
grupo_ocu9_damian,train,5440,9,7,22,7976
grupo_ocu9_damian,train,5343,8,7,14,4196
grupo_ocu9_damian,train,5345,8,3,3,618
grupo_ocu9_damian,train,6221,3,8,24,9971
grupo_ocu9_damian,train,5230,7,3,1,246
grupo_ocu9_damian,train,5502,8,3,4,1194
grupo_ocu9_damian,train,5383,8,8,56,20241
grupo_ocu9_damian,validation,6251,9,2,8,3289
grupo_ocu9_damian,validation,1431,1,1,10,1548
grupo_ocu9_damian,train,7131,4,4,26,6250
grupo_ocu9_damian,train,5261,7,7,48,13116
grupo_ocu9_damian,train,5131,8,8,6,1749
grupo_ocu9_damian,validation,6140,2,1,15,2720
grupo_ocu9_damian,validation,1104,2,2,28,8374
grupo_ocu9_damian,validation,5181,7,9,3,476
grupo_ocu9_damian,validation,2125,1,2,15,3543
grupo_ocu9_damian,train,5345,8,9,10,4834
grupo_ocu9_damian,train,2127,1,1,22,5951
grupo_ocu9_damian,validation,5383,8,9,6,1236
grupo_ocu9_damian,validation,5481,9,9,13,3275
grupo_ocu9_damian,train,5260,7,8,2,355
grupo_ocu9_damian,train,1432,2,2,7,2063
grupo_ocu9_damian,train,8151,5,5,31,6318
grupo_ocu9_damian,train,5140,1,9,1,235
grupo_ocu9_damian,train,5181,7,8,17,4577
grupo_ocu9_damian,train,8201,5,5,48,11187
grupo_ocu9_damian,validation,5343,8,7,13,3386
grupo_ocu9_damian,validation,5332,8,8,4,2307
grupo_ocu9_damian,validation,5441,9,9,5,874
grupo_ocu9_damian,validation,1320,2,5,3,642
grupo_ocu9_damian,train,8204,5,5,11,2015
grupo_ocu9_damian,train,8126,9,8,8,3706
grupo_ocu9_damian,validation,5121,8,7,5,1401
