cmo,cmo_label,official_n_destinations,destinations_4d,labels_sinco,n_values_3d,consensus_3d,n_values_2d,consensus_2d,n_values_1d,consensus_1d,all_have_isco88,n_values_isco88,consensus_isco88,n_values_supervision,consensus_supervision,records,population
5141,"Supervisores, inspectores y similares en la fabricación metalúrgica y en la fabricación de productos eléctricos y electrónicos, la reparación y mantenimiento de maquinaria y productos metálicos y de precisión",3,2630|7201|8201,"Supervisores de mecánicos y técnicos en mantenimiento y reparación de equipos mecánicos, vehículos de motor, instrumentos industriales y equipo de refrigeración || Supervisores de artesanos y trabajadores en el tratamiento y elaboración de productos de metal || Supervisores en procesos de ensamblado y montaje de maquinaria, herramientas y productos metálicos y electrónicos",3,NA,3,NA,3,NA,TRUE,3,NA,1,1,590,162133
7121,Repartidores,2,8344|9723,Conductores de motocicleta || Repartidores de mercancías (a pie y en bicicleta),2,NA,2,NA,2,NA,TRUE,2,NA,1,0,573,158589
8125,Jardineros,2,5241|9651,Jardineros en establecimientos || Ayudantes de jardineros,2,NA,2,NA,2,NA,TRUE,2,NA,1,0,639,157057
5383,Operadores de máquinas para la fabricación y ensamble de productos de plástico y hule,1,8133,Operadores de máquinas para la elaboración y ensamble de productos de plástico y hule,1,813,1,81,1,8,TRUE,1,8232,1,0,529,156740
8151,Trabajadores en cuidados personales y asistenciales (no se incluye a las enfermeras),1,5221,"Cuidadores de niños, personas con discapacidad y ancianos en establecimientos",1,522,1,52,1,5,TRUE,1,5133,1,0,695,156564
6202,Capturistas de datos,1,3113,Capturistas de datos,1,311,1,31,1,3,TRUE,1,4113,1,0,559,155885
5261,Pintores de brocha gorda,1,7135,Pintores de brocha gorda,1,713,1,71,1,7,TRUE,1,7141,1,0,646,153584
1204,"Técnicos en ingeniería química, industrial y mecánica",6,2621|2631|2633|2635|2637|2645,"Auxiliares y técnicos industriales y químicos || Técnicos en mantenimiento y reparación de vehículos de motor || Técnicos en mantenimiento y reparación de maquinaria e instrumentos industriales || Técnicos en mantenimiento y reparación de instrumentos de precisión y musicales || Técnicos en la instalación, reparación y mantenimiento de equipos de refrigeración, climas y aire acondicionado || Técnicos en reparación de equipos electromecánicos",3,NA,1,26,1,2,TRUE,4,NA,1,0,581,153339
1423,Decoradores y diseñadores,4,2541|2542|2543|2544,"Diseñadores de moda y vestuario || Diseñadores industriales || Diseñadores gráficos || Decoradores de interiores, jardines y diversos materiales (tazas, llaveros, etcétera)",1,254,1,25,1,2,TRUE,1,3471,1,0,482,152065
5344,"Ensambladores y montadores de herramientas, maquinaria, equipos y productos metálicos",1,8211,"Ensambladores y montadores de herramientas, maquinaria, equipos y productos metálicos",1,821,1,82,1,8,TRUE,1,8284,1,0,596,150679
7110,Encargados y responsables de comercio,1,4201,Encargados y supervisores de ventas de productos y de servicios financieros y de alquiler,1,420,1,42,1,4,TRUE,1,3413,1,1,585,149672
4150,Pescadores,2,6211|9122,Trabajadores en actividades pesqueras || Trabajadores de apoyo en actividades de acuicultura y pesca,2,NA,2,NA,2,NA,TRUE,2,NA,1,0,599,144346
5267,"Plomeros, fontaneros e instaladores de tubería",1,7134,"Plomeros, fontaneros e instaladores de tubería",1,713,1,71,1,7,TRUE,1,7136,1,0,582,143057
5241,Soldadores y oxicortadores,1,7212,Soldadores y oxicortadores,1,721,1,72,1,7,TRUE,1,7212,1,0,493,142182
5401,"Cargadores, abastecedores, empacadores manuales y similares en la fabricación de alimentos, bebidas y productos de tabaco",1,9236,"Trabajadores de apoyo en la industria de alimentos, bebidas y productos de tabaco",1,923,1,92,1,9,TRUE,1,9322,1,0,414,138734
5242,"Hojalateros, chaperos y pintores de metales",1,7213,"Hojalateros, chaperos, latoneros, cobreros y pintores de metales",1,721,1,72,1,7,TRUE,1,7213,1,0,532,136800
2124,"Directores, gerentes y administradores de área o establecimientos en actividades de producción en industrias manufactureras, en la construcción y los servicios de reparación y mantenimiento",4,1312|1313|1314|1315,"Directores y gerentes en producción minera, petrolera y gas || Directores y gerentes en generación y provisión de energía eléctrica y agua || Directores y gerentes en producción manufacturera || Directores y gerentes en construcción, reparación y mantenimiento",1,131,1,13,1,1,TRUE,3,NA,1,0,501,136364
1412,Músicos,1,2172,Músicos,1,217,1,21,1,2,TRUE,1,2453,1,0,467,134679
5420,"Ayudantes, peones y similares en la fabricación de textiles y productos de cuero, piel y similares",1,9235,Trabajadores de apoyo en la industria textil y del zapato,1,923,1,92,1,9,TRUE,1,9322,1,0,449,128166
5430,"Ayudantes, peones y similares en la fabricación de productos de madera y papel y trabajos de impresión",1,9234,"Trabajadores de apoyo en la industria de la madera, papel y cartón",1,923,1,92,1,9,TRUE,1,9322,1,0,495,127706
1131,Profesionistas en enfermería,1,2426,Enfermeras especialistas,1,242,1,24,1,2,TRUE,1,3231,1,0,537,118931
5502,"Conductores de maquinaria móvil para el movimiento de mercancías en fábricas, puertos, comercios, etcétera",1,8352,"Conductores de maquinaria móvil para el movimiento de mercancías en fábricas, puertos, comercios, etcétera",1,835,1,83,1,8,TRUE,1,8333,1,0,415,118062
