cmo,cmo_label,official_n_destinations,destinations_4d,labels_sinco,n_values_3d,consensus_3d,n_values_2d,consensus_2d,n_values_1d,consensus_1d,all_have_isco88,n_values_isco88,consensus_isco88,n_values_supervision,consensus_supervision,records,population
5189,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este subgrupo,1,1614,Coordinadores y jefes de área en producción manufacturera,1,161,1,16,1,1,TRUE,1,1312,1,0,NA,NA
5259,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,7999,"Otros trabajadores artesanales, no clasificados anteriormente",1,799,1,79,1,7,TRUE,1,7332,1,0,NA,NA
5279,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,2649,"Otros técnicos eléctricos, en electrónica y de equipos en telecomunicaciones y electromecánicos, no clasificados anteriormente",1,264,1,26,1,2,FALSE,0,NA,1,0,NA,NA
5305,Operadores de máquinas en la fabricación de productos de tabaco,1,8162,Operadores de máquinas en la elaboración de tabaco,1,816,1,81,1,8,TRUE,1,8279,1,0,NA,NA
5319,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,8199,"Otros operadores de instalaciones y maquinaria fija industrial, no clasificados anteriormente",1,819,1,81,1,8,TRUE,1,8172,1,0,NA,NA
5339,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,8199,"Otros operadores de instalaciones y maquinaria fija industrial, no clasificados anteriormente",1,819,1,81,1,8,TRUE,1,8172,1,0,NA,NA
5359,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,8199,"Otros operadores de instalaciones y maquinaria fija industrial, no clasificados anteriormente",1,819,1,81,1,8,TRUE,1,8172,1,0,NA,NA
5379,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,8199,"Otros operadores de instalaciones y maquinaria fija industrial, no clasificados anteriormente",1,819,1,81,1,8,TRUE,1,8172,1,0,NA,NA
5590,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este subgrupo,1,8999,"Otros operadores de maquinaria industrial, ensambladores y conductores de transporte, no clasificados anteriormente",1,899,1,89,1,8,TRUE,1,8290,1,0,NA,NA
6209,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,3999,"Otras secretarias, capturistas, cajeros y trabajadores que brindan información, no clasificados anteriormente",1,399,1,39,1,3,TRUE,1,4190,1,0,NA,NA
6219,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,3999,"Otras secretarias, capturistas, cajeros y trabajadores que brindan información, no clasificados anteriormente",1,399,1,39,1,3,TRUE,1,4190,1,0,NA,NA
6239,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,3999,"Otras secretarias, capturistas, cajeros y trabajadores que brindan información, no clasificados anteriormente",1,399,1,39,1,3,TRUE,1,4190,1,0,NA,NA
6249,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,3999,"Otras secretarias, capturistas, cajeros y trabajadores que brindan información, no clasificados anteriormente",1,399,1,39,1,3,TRUE,1,4190,1,0,NA,NA
6259,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,3999,"Otras secretarias, capturistas, cajeros y trabajadores que brindan información, no clasificados anteriormente",1,399,1,39,1,3,TRUE,1,4190,1,0,NA,NA
7135,Subastadores y rematadores,1,2514,"Valuadores, subastadores y rematadores",1,251,1,25,1,2,TRUE,1,3417,1,0,NA,NA
7139,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,4999,"Otros comerciantes, empleados en ventas y agentes de ventas en establecimientos, no clasificados anteriormente",1,499,1,49,1,4,TRUE,1,3413,1,0,NA,NA
7213,"Payasos, malabaristas y similares que se presentan en la vía pública",1,2553,"Payasos, mimos y cirqueros",1,255,1,25,1,2,TRUE,1,3474,1,0,NA,NA
8109,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,5999,"Otras ocupaciones en servicios personales y vigilancia, no clasificadas anteriormente",1,599,1,59,1,5,FALSE,0,NA,1,0,NA,NA
8119,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,5999,"Otras ocupaciones en servicios personales y vigilancia, no clasificadas anteriormente",1,599,1,59,1,5,FALSE,0,NA,1,0,NA,NA
8129,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,5999,"Otras ocupaciones en servicios personales y vigilancia, no clasificadas anteriormente",1,599,1,59,1,5,FALSE,0,NA,1,0,NA,NA
8309,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,5999,"Otras ocupaciones en servicios personales y vigilancia, no clasificadas anteriormente",1,599,1,59,1,5,FALSE,0,NA,1,0,NA,NA
8390,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,5999,"Otras ocupaciones en servicios personales y vigilancia, no clasificadas anteriormente",1,599,1,59,1,5,FALSE,0,NA,1,0,NA,NA
