source_catalog,source_code,source_label,target_catalog,target_code,target_label,evidence_level
CMO,1229,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,SINCO 2011,2992,Otros técnicos no clasificados anteriormente,tabla_comparativa_oficial_inegi
CMO,1230,Técnicos laboratoristas químicos y biólogos,SINCO 2011,2612,"Auxiliares y técnicos en ciencias biológicas, químicas y del medio ambiente",tabla_comparativa_oficial_inegi
CMO,1230,Técnicos laboratoristas químicos y biólogos,SINCO 2011,2813,Técnicos de laboratorios médicos,tabla_comparativa_oficial_inegi
CMO,1230,Técnicos laboratoristas químicos y biólogos,SINCO 2011,2827,Fumigadores y controladores de plagas,tabla_comparativa_oficial_inegi
CMO,1231,Técnicos farmacéuticos,SINCO 2011,2814,Técnicos y asistentes farmacéuticos,tabla_comparativa_oficial_inegi
CMO,1232,Técnicos en ecología,SINCO 2011,2612,"Auxiliares y técnicos en ciencias biológicas, químicas y del medio ambiente",tabla_comparativa_oficial_inegi
CMO,1239,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,SINCO 2011,2992,Otros técnicos no clasificados anteriormente,tabla_comparativa_oficial_inegi
CMO,1240,Técnicos en agronomía,SINCO 2011,2613,Auxiliares y técnicos en agronomía,tabla_comparativa_oficial_inegi
CMO,1241,Técnicos en veterinaria y zootecnia,SINCO 2011,2614,"Auxiliares y técnicos en veterinaria, pesca y forestación",tabla_comparativa_oficial_inegi
CMO,1242,Técnicos en pesca,SINCO 2011,2614,"Auxiliares y técnicos en veterinaria, pesca y forestación",tabla_comparativa_oficial_inegi
CMO,1243,Técnicos en silvicultura y forestación,SINCO 2011,2614,"Auxiliares y técnicos en veterinaria, pesca y forestación",tabla_comparativa_oficial_inegi
CMO,1249,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este subgrupo,SINCO 2011,2614,"Auxiliares y técnicos en veterinaria, pesca y forestación",tabla_comparativa_oficial_inegi
CMO,1250,Técnicos en ciencias sociales,SINCO 2011,2531,Auxiliares en ciencias sociales y humanistas,tabla_comparativa_oficial_inegi
CMO,1250,Técnicos en ciencias sociales,SINCO 2011,2532,Auxiliares en servicios jurídicos,tabla_comparativa_oficial_inegi
CMO,1250,Técnicos en ciencias sociales,SINCO 2011,2711,Auxiliares y técnicos en pedagogía y en educación,tabla_comparativa_oficial_inegi
CMO,1251,Técnicos en ciencias contables financieras,SINCO 2011,2512,"Auxiliares en contabilidad, economía, finanzas y agentes de bolsa",tabla_comparativa_oficial_inegi
CMO,1252,"Técnicos en ciencias administrativas, hotelería y turismo",SINCO 2011,2511,"Auxiliares en administración, mercadotecnia, comercialización y comercio exterior",tabla_comparativa_oficial_inegi
CMO,1260,Técnicos en actividades religiosas,SINCO 2011,2533,Monjas y predicadores,tabla_comparativa_oficial_inegi
CMO,1290,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,SINCO 2011,2992,Otros técnicos no clasificados anteriormente,tabla_comparativa_oficial_inegi
CMO,1300,Profesores universitarios y de otros establecimientos de enseñanza superior,SINCO 2011,2321,Profesores universitarios y de enseñanza superior,tabla_comparativa_oficial_inegi
CMO,1310,Profesores de preparatoria y equivalentes,SINCO 2011,2322,Profesores de preparatoria y equivalentes,tabla_comparativa_oficial_inegi
CMO,1320,Profesores de enseñanza secundaria,SINCO 2011,2331,Profesores de enseñanza secundaria,tabla_comparativa_oficial_inegi
CMO,1330,Profesores de enseñanza primaria,SINCO 2011,2332,Profesores de enseñanza primaria,tabla_comparativa_oficial_inegi
CMO,1331,Alfabetizadores,SINCO 2011,2333,Alfabetizadores,tabla_comparativa_oficial_inegi
CMO,1332,Profesores y promotores bilingües,SINCO 2011,2334,Profesores de enseñanza bilingüe (indígena),tabla_comparativa_oficial_inegi
CMO,1340,Profesores de enseñanza preescolar,SINCO 2011,2335,Profesores de enseñanza preescolar,tabla_comparativa_oficial_inegi
CMO,1350,Profesores de discapacitados mentales,SINCO 2011,2343,Otros profesores de enseñanza especial,tabla_comparativa_oficial_inegi
CMO,1351,Profesores de débiles visuales e invidentes,SINCO 2011,2343,Otros profesores de enseñanza especial,tabla_comparativa_oficial_inegi
CMO,1352,Profesores de personas con problemas de audición y lenguaje,SINCO 2011,2341,Profesores de personas con problemas de audición y lenguaje,tabla_comparativa_oficial_inegi
CMO,1353,Profesores de lesionados del aparato motor,SINCO 2011,2343,Otros profesores de enseñanza especial,tabla_comparativa_oficial_inegi
CMO,1354,Profesores de personas con problemas de aprendizaje,SINCO 2011,2342,Profesores de personas con problemas de aprendizaje,tabla_comparativa_oficial_inegi
CMO,1359,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este subgrupo,SINCO 2011,2343,Otros profesores de enseñanza especial,tabla_comparativa_oficial_inegi
CMO,1360,Profesores e instructores de educación artística,SINCO 2011,2712,Instructores en estudios y capacitación artística,tabla_comparativa_oficial_inegi
CMO,1361,Profesores e instructores en estudios comerciales y administrativos,SINCO 2011,2713,Instructores en estudios y capacitación comercial y administrativa,tabla_comparativa_oficial_inegi
CMO,1362,Profesores e instructores en idiomas extranjeros,SINCO 2011,2714,Instructores en idiomas extranjeros,tabla_comparativa_oficial_inegi
CMO,1363,"Profesores, instructores y capacitadores en educación técnica y capacitación aplicables en la producción y servicios",SINCO 2011,2715,Instructores y capacitadores en oficios y para el trabajo,tabla_comparativa_oficial_inegi
CMO,1364,Profesores e instructores en actividades deportivas,SINCO 2011,2716,Profesores en educación física y deporte,tabla_comparativa_oficial_inegi
CMO,1390,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,SINCO 2011,2339,"Otros profesores de nivel básico, no clasificados anteriormente",tabla_comparativa_oficial_inegi
CMO,1390,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,SINCO 2011,2391,"Otros profesores y especialistas en docencia, no clasificados anteriormente",tabla_comparativa_oficial_inegi
