stage,function_name,classification,required_sinco_level,additional_requirements,applicable,records_total,population_total,records_classified,records_pending,population_classified,population_pending,record_coverage,population_coverage
all_accepted_enoe,procesar_clases_damian,clase_alt6_damian,sinco4d,Derivada de clase_egp13_damian,TRUE,170325,48766853,147034,23291,42620142,6146711,0.8632555408777337,0.8739571938340988
all_accepted_enoe,procesar_clases_damian,macro_egp4_damian,sinco4d,Derivada de clase_egp13_damian,TRUE,170325,48766853,147034,23291,42620142,6146711,0.8632555408777337,0.8739571938340988
all_accepted_enoe,procesar_clases_damian,macro_solis4_damian,sinco4d,Derivada de clase_egp13_damian,TRUE,170325,48766853,147034,23291,42620142,6146711,0.8632555408777337,0.8739571938340988
all_accepted_enoe,procesar_clases_damian,egp3_damian,sinco4d,Derivada de clase_egp13_damian,TRUE,170325,48766853,147034,23291,42620142,6146711,0.8632555408777337,0.8739571938340988
all_accepted_enoe,procesar_clases_damian,baja_damian,sinco4d,Derivada de clase_egp13_damian,TRUE,170325,48766853,147034,23291,42620142,6146711,0.8632555408777337,0.8739571938340988
all_accepted_enoe,procesar_clases_damian,alta_damian,sinco4d,Derivada de clase_egp13_damian,TRUE,170325,48766853,147034,23291,42620142,6146711,0.8632555408777337,0.8739571938340988
all_plus_consensus_panel,procesar_vars_laborales,skill_level,sinco1d,Solo requiere SINCO 1d,TRUE,170325,48766853,170325,0,48766853,0,1,1
all_plus_consensus_panel,procesar_vars_laborales,mismatch,sinco1d,Tambien requiere escolaridad valida,TRUE,170325,48766853,170240,85,48743627,23226,0.9995009540584178,0.9995237338771891
all_plus_consensus_panel,calcular_desajuste_estadistico,mismatch2,sinco1d,Tambien requiere anios_es y referencia estimable,TRUE,170325,48766853,170063,262,48685019,81834,0.9984617642741818,0.9983219339578874
all_plus_consensus_panel,procesar_clases_damian,grupo_ocu9_damian,sinco1d (4d preferido para clase),Solo requiere SINCO 1d,TRUE,170325,48766853,170325,0,48766853,0,1,1
all_plus_consensus_panel,procesar_clases_damian,isco88_damian,sinco4d,Requiere correspondencia SINCO-ISCO88,TRUE,170325,48766853,150570,19755,43646929,5119924,0.8840158520475562,0.8950122124960576
all_plus_consensus_panel,procesar_clases_damian,clase_ocu_damian,sinco1d (4d preferido para clase),Puede recuperar por gran grupo SINCO,TRUE,170325,48766853,170325,0,48766853,0,1,1
all_plus_consensus_panel,procesar_clases_damian,calificada_damian,sinco1d (4d preferido para clase),Derivada de clase_ocu_damian,TRUE,170325,48766853,170325,0,48766853,0,1,1
all_plus_consensus_panel,procesar_clases_damian,manual_damian,sinco1d (4d preferido para clase),Derivada de clase_ocu_damian,TRUE,170325,48766853,170325,0,48766853,0,1,1
all_plus_consensus_panel,procesar_clases_damian,supervisa_damian,sinco4d,Solo requiere SINCO 4d,TRUE,170325,48766853,169000,1325,48421080,345773,0.9922207544400411,0.9929096716575089
all_plus_consensus_panel,procesar_clases_damian,clase_egp13_damian,sinco4d,Tambien requiere posicion y tamano del establecimiento,TRUE,170325,48766853,159337,10988,45827031,2939822,0.9354880375752238,0.9397167990315061
all_plus_consensus_panel,procesar_clases_damian,clase_egp7_damian,sinco4d,Derivada de clase_egp13_damian,TRUE,170325,48766853,162302,8023,46597604,2169249,0.9528959342433583,0.955517962169919
all_plus_consensus_panel,procesar_clases_damian,clase_alt6_damian,sinco4d,Derivada de clase_egp13_damian,TRUE,170325,48766853,162717,7608,46693014,2073839,0.9553324526640247,0.9574744140246245
all_plus_consensus_panel,procesar_clases_damian,macro_egp4_damian,sinco4d,Derivada de clase_egp13_damian,TRUE,170325,48766853,165951,4374,47569790,1197063,0.9743196829590489,0.9754533473792126
all_plus_consensus_panel,procesar_clases_damian,macro_solis4_damian,sinco4d,Derivada de clase_egp13_damian,TRUE,170325,48766853,164050,6275,47086516,1680337,0.9631586672537795,0.9655434604320274
all_plus_consensus_panel,procesar_clases_damian,egp3_damian,sinco4d,Derivada de clase_egp13_damian,TRUE,170325,48766853,166114,4211,47604713,1162140,0.975276676941142,0.9761694690448859
all_plus_consensus_panel,procesar_clases_damian,baja_damian,sinco4d,Derivada de clase_egp13_damian,TRUE,170325,48766853,169327,998,48515549,251304,0.9941406135329517,0.9948468276187517
all_plus_consensus_panel,procesar_clases_damian,alta_damian,sinco4d,Derivada de clase_egp13_damian,TRUE,170325,48766853,167018,3307,47852081,914772,0.9805841773080874,0.9812419308664433
