cmo,classification,old_value,new_value,n,w_pre,w_post,historical_target_official,forward,unique_forward,reverse,unique_reverse,train_n,validation_n,train_forward,validation_forward,train_reverse,validation_reverse,train_unique_forward,validation_unique_forward,train_unique_reverse,validation_unique_reverse,accepted,reason
7111,grupo_ocu9_damian,4,7,55,22760,21956,TRUE,0.035588857997954734,FALSE,1,TRUE,21,34,0.022441796529028477,0.047479653491440024,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,clasificaciones_discrepantes
7210,grupo_ocu9_damian,9,7,25,5937,5834,TRUE,0.02647798629941487,FALSE,1,TRUE,17,8,0.04514850758590325,0.008810305018835824,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,clasificaciones_discrepantes
5140,grupo_ocu9_damian,1,8,20,7212,7277,TRUE,0.41825668387171605,TRUE,1,TRUE,7,13,0.3037850007035317,0.4985201262825572,1,1,FALSE,TRUE,TRUE,TRUE,FALSE,clasificaciones_discrepantes
2122,grupo_ocu9_damian,1,1,55,25237,22655,TRUE,0.6411350760866804,TRUE,1,TRUE,27,28,0.6423689272704948,0.6391158740790355,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel
2125,grupo_ocu9_damian,1,1,92,22287,20143,TRUE,0.6028401406545848,TRUE,1,TRUE,48,44,0.48774338142597,0.7613322188645277,1,1,FALSE,TRUE,TRUE,TRUE,FALSE,sin_mayoria_reciproca_estable
6251,grupo_ocu9_damian,9,9,40,7457,7560,TRUE,0.36251823043266895,TRUE,1,TRUE,18,22,0.272596499640374,0.4238632646385345,1,1,FALSE,TRUE,TRUE,TRUE,FALSE,sin_mayoria_reciproca_estable
5240,grupo_ocu9_damian,7,7,13,4809,4775,TRUE,0.4776519666269368,TRUE,1,TRUE,5,8,0.3670520231213873,0.7207750952986023,1,1,FALSE,TRUE,TRUE,TRUE,FALSE,sin_mayoria_reciproca_estable
5502,grupo_ocu9_damian,8,8,103,21871,22148,TRUE,0.6565896127289103,TRUE,1,TRUE,51,52,0.6451182444955149,0.6643963473084102,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel
5190,grupo_ocu9_damian,1,2,6,869,839,FALSE,0.11713168890686076,FALSE,1,TRUE,2,4,0.09050894085281981,0.1427061310782241,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,clasificaciones_discrepantes
8124,grupo_ocu9_damian,9,3,32,7338,7447,TRUE,0.027337448728313146,FALSE,1,TRUE,20,12,0.030532164315815662,0.02421635635163799,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,clasificaciones_discrepantes
