p3coe,pos_ocu,emple7c,p4a,sinco_original,egp_original,egp_oficial,revision,registros,poblacion,cmo_label,destinos,etiquetas_destinos
2124,3,2,3110,1312,2,2,original_coincide_con_consenso_oficial,4,1105,"Directores, gerentes y administradores de área o establecimientos en actividades de producción en industrias manufactureras, en la construcción y los servicios de reparación y mantenimiento",1312|1313|1314|1315,"1312 Directores y gerentes en producción minera, petrolera y gas || 1313 Directores y gerentes en generación y provisión de energía eléctrica y agua || 1314 Directores y gerentes en producción manufacturera || 1315 Directores y gerentes en construcción, reparación y mantenimiento"
1204,1,6,3130,2621,2,NA,requiere_revision_semantica,3,1103,"Técnicos en ingeniería química, industrial y mecánica",2621|2631|2633|2635|2637|2645,"2621 Auxiliares y técnicos industriales y químicos || 2631 Técnicos en mantenimiento y reparación de vehículos de motor || 2633 Técnicos en mantenimiento y reparación de maquinaria e instrumentos industriales || 2635 Técnicos en mantenimiento y reparación de instrumentos de precisión y musicales || 2637 Técnicos en la instalación, reparación y mantenimiento de equipos de refrigeración, climas y aire acondicionado || 2645 Técnicos en reparación de equipos electromecánicos"
6160,1,4,4620,1711,2,2,original_coincide_con_consenso_oficial,2,1102,"Jefes de departamento, coordinadores y supervisores en servicios de restaurante, hospedaje y comercio",1711|1712,"1711 Coordinadores y jefes de área de ventas, comercialización y alquiler || 1712 Coordinadores y jefes de área de restaurantes y hoteles"
6110,1,6,3120,1512,1,NA,requiere_revision_semantica,4,1099,"Jefes de departamento, coordinadores y supervisores en contabilidad y finanzas",1512|3101,"1512 Coordinadores y jefes de área en servicios contables, financieros, banca y seguros || 3101 Supervisores de secretarias, capturistas, cajeros y trabajadores de control de archivo y transporte"
6180,2,3,8111,1723,2,NA,requiere_revision_semantica,1,1099,"Otros jefes de departamento, coordinadores y supervisores en actividades no clasificadas anteriormente",1723|5201|9601,"1723 Coordinadores y jefes de área en servicios funerarios y otros servicios || 5201 Supervisores y encargados de trabajadores en cuidados personales y del hogar || 9601 Supervisores en limpieza, amas de llaves, mayordomos y en estacionamientos"
5400,1,6,3150,9236,10,10,original_coincide_con_consenso_oficial,1,1092,"Ayudantes, peones y similares en la fabricación de alimentos, bebidas y productos de tabaco",9236|9411,"9236 Trabajadores de apoyo en la industria de alimentos, bebidas y productos de tabaco || 9411 Ayudantes en la preparación de alimentos"
5190,1,6,9314,NA,NA,NA,original_tampoco_resuelve,2,1088,NA,NA,NA
6110,1,2,5310,1512,2,2,original_coincide_con_consenso_oficial,1,1086,"Jefes de departamento, coordinadores y supervisores en contabilidad y finanzas",1512|3101,"1512 Coordinadores y jefes de área en servicios contables, financieros, banca y seguros || 3101 Supervisores de secretarias, capturistas, cajeros y trabajadores de control de archivo y transporte"
1204,3,1,2382,2621,2,NA,requiere_revision_semantica,3,1079,"Técnicos en ingeniería química, industrial y mecánica",2621|2631|2633|2635|2637|2645,"2621 Auxiliares y técnicos industriales y químicos || 2631 Técnicos en mantenimiento y reparación de vehículos de motor || 2633 Técnicos en mantenimiento y reparación de maquinaria e instrumentos industriales || 2635 Técnicos en mantenimiento y reparación de instrumentos de precisión y musicales || 2637 Técnicos en la instalación, reparación y mantenimiento de equipos de refrigeración, climas y aire acondicionado || 2645 Técnicos en reparación de equipos electromecánicos"
6160,1,3,4651,1711,2,2,original_coincide_con_consenso_oficial,3,1078,"Jefes de departamento, coordinadores y supervisores en servicios de restaurante, hospedaje y comercio",1711|1712,"1711 Coordinadores y jefes de área de ventas, comercialización y alquiler || 1712 Coordinadores y jefes de área de restaurantes y hoteles"
