cmo,aux,old_value,new_value,n,w1,w2,old_official,forward,unique_forward,reverse,unique_reverse,train_n,validation_n,train_forward,validation_forward,train_reverse,validation_reverse,train_unique_forward,validation_unique_forward,train_unique_reverse,validation_unique_reverse,feature,passes,rescata_original,motivo
7121,467,8,8,1,112,114,TRUE,1,TRUE,1,TRUE,NA,1,NA,1,NA,1,NA,TRUE,NA,TRUE,p4a3,FALSE,TRUE,muestra_insuficiente
6180,931,1,13,1,175,297,TRUE,0.05497957901350927,FALSE,1,TRUE,1,NA,0.08582638548307994,NA,1,NA,FALSE,NA,TRUE,NA,p4a3,FALSE,FALSE,muestra_insuficiente
6180,462,1,4,1,124,126,TRUE,1,TRUE,1,TRUE,NA,1,NA,1,NA,1,NA,TRUE,NA,TRUE,p4a3,FALSE,FALSE,muestra_insuficiente
7201,464,3,3,1,655,659,TRUE,0.16152897657213316,FALSE,1,TRUE,NA,1,NA,0.3088165959453088,NA,1,NA,FALSE,NA,TRUE,p4a3,FALSE,TRUE,muestra_insuficiente
5141,811,2,6,1,521,516,TRUE,0.6136631330977621,TRUE,1,TRUE,1,NA,0.7881996974281392,NA,1,NA,TRUE,NA,TRUE,NA,p4a3,FALSE,FALSE,muestra_insuficiente
1250,614,3,3,1,754,739,TRUE,1,TRUE,1,TRUE,1,NA,1,NA,1,NA,TRUE,NA,TRUE,NA,p4a3,FALSE,TRUE,muestra_insuficiente
5141,213,2,2,1,58,58,TRUE,1,TRUE,1,TRUE,NA,1,NA,1,NA,1,NA,TRUE,NA,TRUE,p4a3,FALSE,TRUE,muestra_insuficiente
6180,811,2,11,1,51,51,TRUE,1,TRUE,1,TRUE,NA,1,NA,1,NA,1,NA,TRUE,NA,TRUE,p4a3,FALSE,FALSE,muestra_insuficiente
5141,211,2,7,1,67,68,TRUE,0.335,FALSE,1,TRUE,NA,1,NA,0.46853146853146854,NA,1,NA,FALSE,NA,TRUE,p4a3,FALSE,FALSE,muestra_insuficiente
6180,931,1,3,1,55,56,TRUE,0.017279296261388626,FALSE,1,TRUE,1,NA,0.026974006866110838,NA,1,NA,FALSE,NA,TRUE,NA,p4a3,FALSE,FALSE,muestra_insuficiente
1204,237,2,10,1,60,61,TRUE,0.375,FALSE,1,TRUE,NA,1,NA,1,NA,1,NA,TRUE,NA,TRUE,p4a3,FALSE,FALSE,muestra_insuficiente
