sinco3d,sinco4d,cmo_4d,label_cmo,propuesta,sinco4dproxy,sinco3dproxy,sinco_4d1,sinco_4d2,sinco_4d3,sinco3d1,sinco3d2,sinco3d3
699,6999,4159,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,por definir,,,,,,,,
621,6213,4161, Trabajadores en actividades de beneficio de productos pesqueros,por definir,,,,,,,,
699,6999,4169,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,por definir,,,,,,,,
699,6999,4190, Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,por definir,,,,,,,,
750,7501,5101," Supervisores, inspectores y similares en la fabricación de alimentos, bebidas y productos de tabaco",por definir,,,,,,,,
750,7501,5109,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,por definir,,,,,,,,
161,1612,5110," Jefes, coordinadores y similares en la extracción en minas, canteras y pozos",por definir,,,,,,,,
810,8101,5119,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,auto,,,,,,,,
161,1614,5120," Jefes, coordinadores y similares en la fabricación de textiles y productos de cuero, piel y similares",auto,,,,,,,,
810,8101,5121,"Supervisores, inspectores y similares en la fabricación de textiles y productos de cuero, piel y similares",auto,,,,,,,,
730,7301,5129,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,auto,,,,,,,,
161,1614,5130," Jefes, coordinadores y similares en la fabricación de productos de madera y papel, y en trabajos de impresión",auto,,,,,,,,
810,8101,5131," Supervisores, inspectores y similares en la fabricación de productos de madera y papel, y en trabajos de impresión",auto,,,,,,,,
730,7301,5139,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,auto,,,,,,,,
161,1614,5140," Jefes, coordinadores y similares en la fabricación metalúrgica y en la fabricación de productos eléctricos y electrónicos, la reparación y mantenimiento de maquinaria y productos metálicos y de precisión",auto,,,,,,,,
263,2630,5149,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este subgrupo,auto,,,,,,,,
161,1614,5150," Jefes, coordinadores y similares en la fabricación de productos de cerámica, vidrio y otros minerales no metálicos",auto,,,,,,,,
760,7601,5151," Supervisores, inspectores y similares en la fabricación de productos de cerámica, vidrio y otros minerales no metálicos",auto,,,,,,,,
760,7602,5159,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,auto,,,,,,,,
161,1615,5160," Jefes, coordinadores, contratistas y similares en la construcción, instalación, mantenimiento y acabados",auto,,,,,,,,
710,7101,5161," Supervisores, inspectores y similares en la construcción, instalación, mantenimiento y acabados",auto,,,,,,,,
264,2640,5171," Supervisores, inspectores y similares en la generación de energía, la instalación, reparación y mantenimiento de equipo eléctrico y de telecomunicaciones",auto,,,,,,,,
161,1613,5179,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este subgrupo,auto,,,,,,,,
161,1614,5180," Jefes, coordinadores y similares en la fabricación de químicos, petroquímica, hule, caucho y plástico",auto,,,,,,,,
740,7401,5181," Supervisores, inspectores y similares en la fabricación de químicos, petroquímica, hule, caucho y plástico",auto,,,,,,,,
161,1614,5189,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este subgrupo,auto,,,,,,,,
751,7511,5200," Trabajadores en la elaboración de productos de carne, pescado y derivados",auto,,,,,,,,
751,7512,5201, Trabajadores en la elaboración de productos lácteos,auto,,,,,,,,
