source_code,source_label,n_destinations_4d,destinations_4d,target_4d_unique,n_destinations_3d,destinations_3d,target_3d_unique,n_destinations_2d,destinations_2d,target_2d_unique,n_destinations_1d,destinations_1d,target_1d_unique,maximum_unambiguous_level,decision_status_4d
2100,Altas autoridades gubernamentales y legislativas,2,1111|1112,NA,1,111,111,1,11,11,1,1,1,3d,official_multiple_unresolved
2101,Presidentes y autoridades municipales,1,1113,1113,1,111,111,1,11,11,1,1,1,4d,official_unique
2110,"Presidentes, directores y gerentes generales en instituciones y empresas públicas, descentralizadas y paraestatales",1,1121,1121,1,112,112,1,11,11,1,1,1,4d,official_unique
2111,"Presidentes, directores y gerentes generales en instituciones, negocios y empresas privadas",1,1122,1122,1,112,112,1,11,11,1,1,1,4d,official_unique
2119,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este subgrupo,1,1129,1129,1,112,112,1,11,11,1,1,1,4d,official_unique
2120,"Directores, gerentes y administradores de área o establecimientos en servicios de salud",1,1221,1221,1,122,122,1,12,12,1,1,1,4d,official_unique
2121,"Directores, gerentes y administradores de área o establecimientos de finanzas, contabilidad, recursos humanos, administración e impartición de justicia",4,1211|1212|1224|1321,NA,3,121|122|132,NA,2,12|13,NA,1,1,1,1d,official_multiple_unresolved
2122,"Directores, gerentes y administradores de área o establecimientos en actividades comerciales (incluye la venta de seguros y bienes raíces)",1,1411,1411,1,141,141,1,14,14,1,1,1,4d,official_unique
2123,"Directores, gerentes y administradores de área o establecimientos en comunicaciones y transportes",2,1322|1323,NA,1,132,132,1,13,13,1,1,1,3d,official_multiple_unresolved
2124,"Directores, gerentes y administradores de área o establecimientos en actividades de producción en industrias manufactureras, en la construcción y los servicios de reparación y mantenimiento",4,1312|1313|1314|1315,NA,1,131,131,1,13,13,1,1,1,3d,official_multiple_unresolved
2125,Directores gerentes y administradores de área o establecimientos de enseñanza e investigación,2,1223|1324,NA,2,122|132,NA,2,12|13,NA,1,1,1,1d,official_multiple_unresolved
2126,"Directores, gerentes y administradores de área o establecimientos en servicios asistenciales y de readaptación social",3,1222|1225|1226,NA,1,122,122,1,12,12,1,1,1,3d,official_multiple_unresolved
2127,"Directores, gerentes y administradores de área o establecimientos en servicios culturales, de esparcimiento, recreativos, restaurante, hospedaje y otros servicios personales",2,1412|1423,NA,2,141|142,NA,1,14,14,1,1,1,2d,official_multiple_unresolved
2128,"Directores, gerentes y administradores de área o establecimientos en el sector agropecuario, silvícola y pesquero",1,1311,1311,1,131,131,1,13,13,1,1,1,4d,official_unique
2129,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este subgrupo,1,1999,1999,1,199,199,1,19,19,1,1,1,4d,official_unique
2130,Directivos de partidos políticos,1,1131,1131,1,113,113,1,11,11,1,1,1,4d,official_unique
